mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_train_neg_mean_squared_error,split1_train_neg_mean_squared_error,split2_train_neg_mean_squared_error,split3_train_neg_mean_squared_error,split4_train_neg_mean_squared_error,mean_train_neg_mean_squared_error,std_train_neg_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_train_neg_mean_absolute_error,split1_train_neg_mean_absolute_error,split2_train_neg_mean_absolute_error,split3_train_neg_mean_absolute_error,split4_train_neg_mean_absolute_error,mean_train_neg_mean_absolute_error,std_train_neg_mean_absolute_error,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,mean_train_r2,std_train_r2
0.8110966682434082,0.05149797138338163,0.019129467010498048,0.0017127219123813503,50,5,100,"{'max_depth': 50, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.00205329697632103,-0.0032882335743934336,-0.0020522871488063486,-0.003752474870962417,-0.0017358197528588902,-0.0025764224646684245,0.0007930656143437213,47,-0.0013943960514398385,-0.0012248160228841144,-0.001489960504954803,-0.0011381682862530327,-0.0015320626595081107,-0.00135588070500798,0.00015170863781366686,-0.03369479426026886,-0.03957612328679831,-0.035655350917448966,-0.04470767435279248,-0.02915597095576566,-0.03655798275461486,0.00527880699922509,45,-0.02636767403129382,-0.02517386564407317,-0.02776671102255192,-0.024253111596604617,-0.0273390650006193,-0.026180085459028567,0.0013131268264391014,0.7751780779654341,0.42818813650555376,0.768136679880403,0.7269604916205838,0.8336525847036271,0.7064231941351203,0.14321985482461674,47,0.8572337921717984,0.8842808608259266,0.8485398025155322,0.8670566506284325,0.837921888555155,0.8590065989393689,0.015879882425926587
1.7314394474029542,0.11221592311083087,0.041179227828979495,0.011774939384207607,50,5,200,"{'max_depth': 50, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.002149099092233005,-0.0032077038440482923,-0.0020193180898748953,-0.003792628228895262,-0.0016557968165800984,-0.0025649092143263104,0.0008021885064228798,40,-0.0013958520189148885,-0.0012317399038863034,-0.0014709268740222656,-0.0011249647728483355,-0.0014976374893950406,-0.0013442242118133665,0.00014351449398606166,-0.03457971680777756,-0.03896803594741868,-0.0352798689597213,-0.044486603593569686,-0.028694646791398777,-0.0364017744199772,0.005213991620256442,38,-0.026261037602100128,-0.025377350082242015,-0.027029528251574148,-0.024356435772351217,-0.027376856485110904,-0.026080241638675682,0.0011027788099791755,0.7646884040007358,0.4421919638291205,0.771861458583769,0.7240388323192506,0.8413213582571479,0.7088204033980048,0.138545470178303,38,0.857084721931016,0.8836267009077452,0.8504746440702592,0.8685988824026736,0.8415637543257661,0.8602697407274921,0.01463505640868645
2.5968282222747803,0.06627085358259914,0.055687570571899415,0.00809999245829893,50,5,300,"{'max_depth': 50, 'min_samples_leaf': 5, 'n_estimators': 300}",-0.00213274330845189,-0.0031679661111001086,-0.0020188111437595517,-0.0037145525153299865,-0.0016872941767724441,-0.0025442734510827962,0.0007666063910095623,26,-0.0013833210256456508,-0.0012226693339195867,-0.0014523397343417055,-0.001167173478776679,-0.0014937467988057054,-0.0013438500742978656,0.00012782517873916017,-0.03426658990872914,-0.03933119318425935,-0.03525054463502296,-0.0441570067909387,-0.029107698563910718,-0.03642260661657217,0.0050559042520790295,40,-0.026276752726555355,-0.025349042977476945,-0.02705048965610926,-0.024642591251038622,-0.02721770360044967,-0.026107316042325975,0.0009870808011528628,0.7664792500344355,0.4491022111135876,0.7719187323475762,0.729719817583988,0.8383028971248638,0.7111045816408902,0.135599332932706,26,0.8583677163769071,0.8844836774076893,0.8523640980774809,0.8636687092406479,0.8419753535374708,0.8601719109280392,0.014132383720774277
4.186549043655395,0.12368317408978961,0.08438329696655274,0.014109504029405098,50,5,500,"{'max_depth': 50, 'min_samples_leaf': 5, 'n_estimators': 500}",-0.002151089660306501,-0.0033161297793439354,-0.0020590170528139657,-0.0037758986249483064,-0.001703776325809113,-0.0026011822886443645,0.0007991210627178278,48,-0.0014141041958107227,-0.001227262034241552,-0.001438832475049193,-0.0011585762425480896,-0.0015040213754726147,-0.0013485592646244344,0.00013222739898356836,-0.03458749991042449,-0.039806874382214474,-0.03571728063969886,-0.044568431593527295,-0.029005668675573727,-0.03673715104028777,0.005218986715245045,48,-0.026604096462017623,-0.025283596685938558,-0.026926274266232605,-0.02443809147336744,-0.027396438126450016,-0.02612969940280125,0.001099239580004368,0.7644704504628964,0.42333708788741775,0.7673763487112488,0.7252561203742369,0.8367233766209268,0.7034326768113454,0.1445756654957486,49,0.8552159601274115,0.8840497646258407,0.853737162768199,0.8646729064172621,0.8408883980061594,0.8597128383889746,0.01433302775029837
8.476341772079468,0.2063825789018444,0.19370217323303224,0.05371950586971742,50,5,1000,"{'max_depth': 50, 'min_samples_leaf': 5, 'n_estimators': 1000}",-0.0021560356628103484,-0.0032232260690042143,-0.002020314792367103,-0.0037559840873960196,-0.0016588815376624606,-0.0025628884298480293,0.0007920437908349192,39,-0.0013989507317967935,-0.001237273881481421,-0.0014522197043305071,-0.001143654960860593,-0.0014973332127773172,-0.0013458864982493263,0.00013397982398450023,-0.03481111337616473,-0.03909772195960439,-0.03553316137361179,-0.04434724913992414,-0.028642951858027923,-0.03648643954146659,0.005173913015816669,42,-0.026502442007232927,-0.025398677887886814,-0.02709894524942099,-0.02438265145830468,-0.027306064755253056,-0.02613775627161969,0.0010998594830939892,0.7639288971454143,0.4394927053437305,0.771748853118618,0.7267051522078558,0.8410257426679625,0.7085802700967162,0.13952216487571176,40,0.8567674580612273,0.8831038573854931,0.852376299588286,0.8664157815161484,0.8415959439880174,0.8600518681078345,0.014015822773528428
0.7484937191009522,0.025298854789252836,0.024567222595214842,0.005403447366577875,50,10,100,"{'max_depth': 50, 'min_samples_leaf': 10, 'n_estimators': 100}",-0.002742921225130071,-0.003408016263175484,-0.0018358698503632578,-0.005503363562483857,-0.00229055014352412,-0.0031561442089353573,0.0012834335921817572,69,-0.0024582235650893805,-0.002158415825666942,-0.0025922382901457674,-0.0019615753461427144,-0.0024175106273834034,-0.0023175927308856413,0.00022683759220414967,-0.03948722150345924,-0.04035979105655771,-0.035753876506056666,-0.05059181924231479,-0.03365527529804603,-0.03996959672128688,0.005845673626287791,66,-0.03540538185718786,-0.032826261454831036,-0.0358685763511088,-0.03224336624228021,-0.03527545984346774,-0.034323809149775134,0.001485438390544709,0.6996689573234274,0.40735836242252677,0.7925870758094103,0.5995614272698924,0.7804915542904597,0.6559334754231434,0.14217532029361352,69,0.7483130735924384,0.7960754785541311,0.7364890397788182,0.7708788764274802,0.7442496529417765,0.7592012242589289,0.02169803135606354
1.4339300632476806,0.059236377035388435,0.042272424697875975,0.00642372695115588,50,10,200,"{'max_depth': 50, 'min_samples_leaf': 10, 'n_estimators': 200}",-0.002737995585370762,-0.0033532383065105987,-0.001841298759217402,-0.005426413998866927,-0.0023679329157191994,-0.0031453759131369772,0.001242363480804985,66,-0.002519282841403805,-0.0022243398782852723,-0.0026087975495991656,-0.0019346703787180093,-0.0024613542437839165,-0.002349688978358034,0.0002434425174501198,-0.039345321651146396,-0.041082191891412004,-0.03541115809140493,-0.04984722940617864,-0.033871277757664894,-0.039911435759561374,0.005606195827306677,61,-0.035988495652183844,-0.03353555285802925,-0.036045166265132024,-0.0321630866036489,-0.035694980434383274,-0.034685456362675456,0.0015652787950680104,0.7002082810601826,0.4168840499293043,0.7919737284850457,0.6051604710323331,0.7730757934535879,0.6574604647920907,0.13704043115958825,63,0.742061477194741,0.7898470536500414,0.7348057275711001,0.7740215017557157,0.7396114023447748,0.7560694325032746,0.021828601406620133
2.257639932632446,0.062375246786614595,0.08968148231506348,0.019953434161136357,50,10,300,"{'max_depth': 50, 'min_samples_leaf': 10, 'n_estimators': 300}",-0.0027615994848091273,-0.0033937585494584295,-0.0018301974237792404,-0.005415254715274963,-0.002248571268691141,-0.0031298762884025798,0.0012565094424393187,58,-0.0024715726929005746,-0.0021616391639137094,-0.0025928153795915605,-0.0019198769307497397,-0.002392649132470507,-0.0023077106599252183,0.00023962549721528626,-0.03969960020404316,-0.04113596385119576,-0.03558241784395547,-0.049704093277543444,-0.03298792553968863,-0.03982200014328529,0.005728453209118497,54,-0.03556814286288486,-0.03299646497884736,-0.0359342647388556,-0.03207373590218608,-0.03507244555723413,-0.03432901080800161,0.0015183495609328846,0.6976238161238186,0.40983772700088494,0.7932279352825449,0.6059724485699827,0.7845144819671467,0.6582352817888756,0.14152996749289484,59,0.7469463138734544,0.795770941447975,0.736430376424229,0.775749445281651,0.7468797700053119,0.7603553694065243,0.02202289787374099
3.770757818222046,0.1033971291488069,0.10655670166015625,0.011697630770651607,50,10,500,"{'max_depth': 50, 'min_samples_leaf': 10, 'n_estimators': 500}",-0.00273194774677897,-0.0033765582015192605,-0.0018118106280882599,-0.005420888158777392,-0.00225818759257862,-0.0031198784655485008,0.0012621072035064126,53,-0.002470023076424826,-0.002178959639632453,-0.0025796765064334736,-0.0019313498203152593,-0.0023945202626609852,-0.0023109058610933995,0.000230659883642497,-0.039297615114282564,-0.04110187270536726,-0.035563373357687764,-0.04963680920228996,-0.03332630923148346,-0.039785195922222204,0.005631459137128952,53,-0.03561354500003599,-0.03305126626421335,-0.0360936945017678,-0.032129467392842996,-0.03518810821310254,-0.034415216274392535,0.001545034007597939,0.7008704778646594,0.41282880497187835,0.7953052388887927,0.6055625450536957,0.7835929285508428,0.6596319990659738,0.14093223523994505,54,0.747104972432192,0.7941345238123378,0.7377659932520775,0.7744093584208305,0.746681821673592,0.760019333918206,0.021027601494075586
7.37272424697876,0.188037275958317,0.17282042503356934,0.016119487788544568,50,10,1000,"{'max_depth': 50, 'min_samples_leaf': 10, 'n_estimators': 1000}",-0.0027418818241754955,-0.0034140573223066435,-0.0018553498307980535,-0.005442949468630314,-0.0022773688946091416,-0.00314632146810393,0.0012594792915582107,67,-0.0024894649320098025,-0.00220845335628331,-0.0025832184490743016,-0.0019427444377017233,-0.0024038902686657165,-0.002325554288746971,0.00022788157217423142,-0.03954642886213807,-0.04130319135782089,-0.03575596483292932,-0.04973946218444184,-0.033252334827581644,-0.039919476412982345,0.005661652721113199,63,-0.03578402596405929,-0.033187625314893325,-0.03594368313842857,-0.03219770501240303,-0.03516341160078615,-0.03445529020611407,0.0014957241275245484,0.6997827645919653,0.4063078442032102,0.790386266365126,0.603957308668754,0.7817547422935767,0.6564377852245264,0.1420172597821346,68,0.7451144045500293,0.791347993069668,0.7374059412036678,0.7730784141145618,0.7456905613827359,0.7585274628641325,0.020394765188640595
